"","species","WWF_MHT","dcmlLng","dcmlLtt","S_mean_raster","Crowther_Nature_Biome_Revision_01_WGS84_GeoTiff","wc2.1_10m_bio_1","wc2.1_10m_bio_4","wc2.1_10m_bio_12","wc2.1_10m_bio_15"
"1","Repens","Tropical and Subtropical Moist Broadleaf Forests",120.258889,22.628056,38.8942031860352,NA,24.4071369171143,371.662750244141,1990,105.679748535156
"2","Repens","Tropical and Subtropical Moist Broadleaf Forests",120.258889,22.628056,38.8942031860352,NA,24.4071369171143,371.662750244141,1990,105.679748535156
"3","Assamica","Tropical and Subtropical Moist Broadleaf Forests",108.75,29.816667,31.6939163208008,31839.1502361498,13.7023954391479,765.12255859375,1415,59.9870719909668
"4","Repens","Tropical and Subtropical Moist Broadleaf Forests",120.258889,22.628056,38.8942031860352,NA,24.4071369171143,371.662750244141,1990,105.679748535156
"5","Repens","Tropical and Subtropical Moist Broadleaf Forests",120.258889,22.628056,38.8942031860352,NA,24.4071369171143,371.662750244141,1990,105.679748535156
"6","Repens","Tropical and Subtropical Moist Broadleaf Forests",120.258889,22.628056,38.8942031860352,NA,24.4071369171143,371.662750244141,1990,105.679748535156
"7","Repens","Tropical and Subtropical Moist Broadleaf Forests",120.258889,22.628056,38.8942031860352,NA,24.4071369171143,371.662750244141,1990,105.679748535156
"8","Antarctica","Tropical and Subtropical Moist Broadleaf Forests",148.5,-21.12,35.8798828125,56081.5320459067,19.7918128967285,369.056640625,1584,83.2604370117188
"9","Antarctica","Temperate Broadleaf and Mixed Forests",150.5,-34.87,32.2842864990234,29022.4739912514,16.5683326721191,364.693511962891,1155,23.4857139587402
"10","Antarctica","Temperate Broadleaf and Mixed Forests",152.32,-28.37,24.6180667877197,28258.9979793334,16.9948329925537,456.096405029297,873,41.2618598937988
"11","Antarctica","Temperate Broadleaf and Mixed Forests",150.82,-34.6,37.9275817871094,47948.2839318432,16.127498626709,361.931274414062,1335,26.3813228607178
"12","Antarctica","Temperate Broadleaf and Mixed Forests",151.22,-33.28,30.862813949585,56454.3879715607,16.4625415802002,395.419830322266,1126,32.3792610168457
"13","Antarctica","Temperate Broadleaf and Mixed Forests",150.33,-35.58,34.1184997558594,66317.5957465488,15.7388601303101,351.9375,1112,23.5066547393799
"14","Antarctica","Temperate Broadleaf and Mixed Forests",153.335,-28.6414,36.8094329833984,50342.3749699155,18.4544887542725,359.841217041016,1818,44.323299407959
"15","Antarctica","Temperate Broadleaf and Mixed Forests",152.08,-27.73,16.3917922973633,49056.1072633007,17.4535617828369,431.361206054688,781,46.1812744140625
"16","Antarctica","Tropical and Subtropical Moist Broadleaf Forests",145.5,-17.33,63.4579582214355,32868.376229431,20.7843532562256,287.979461669922,2061,78.0444869995117
"17","Antarctica","Temperate Broadleaf and Mixed Forests",151.85,-32.15,26.9052982330322,56771.1820089275,17.2497711181641,427.657562255859,1077,43.5128555297852
"18","Antarctica","Temperate Broadleaf and Mixed Forests",151.75,-32.25,28.9353809356689,58637.8550392707,16.5184059143066,416.726989746094,1257,39.2077484130859
"19","Antarctica","Temperate Broadleaf and Mixed Forests",150.8283,-31.9019,18.979284286499,68715.9863547529,16.0170307159424,496.6318359375,797,25.8350353240967
"20","Antarctica","Tropical and Subtropical Moist Broadleaf Forests",145.47,-17.27,43.5780487060547,28305.9509530146,20.6295833587646,280.588348388672,1470,91.5168685913086
"21","Antarctica","Temperate Broadleaf and Mixed Forests",151.3,-33.55,NA,35906.5163399988,17.065975189209,367.825378417969,1255,28.3833045959473
"22","Antarctica","Temperate Broadleaf and Mixed Forests",151.48,-32.1,25.5180015563965,60954.3583799648,13.0580205917358,443.658660888672,1271,25.1332263946533
"23","Hastata","Tropical and Subtropical Moist Broadleaf Forests",145.22,-15.67,21.8312091827393,52060.0766384404,23.7425727844238,220.004104614258,1996,94.7265853881836
"24","Antarctica","Temperate Broadleaf and Mixed Forests",150.8283,-31.9019,18.979284286499,68715.9863547529,16.0170307159424,496.6318359375,797,25.8350353240967
"25","Oblonga","Temperate Broadleaf and Mixed Forests",152.67,-26.47,17.8814163208008,45355.7805576109,20.017635345459,395.51904296875,1305,46.3417778015137
